feature,inner_mean_gain_vs_static,inner_positive_vs_static_rate,inner_mean_regret_vs_oracle,inner_top1_hit_rate,outer_mode,outer_fold
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.09992804164582025,0.2,loco,"('ETTm1', 24)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.10033205190674829,0.14285714285714285,loco,"('ETTm1', 24)"
router_multivar_cross_channel_mean_abs_corr,-0.05835621189152792,0.05714285714285714,0.10959126425083511,0.17142857142857143,loco,"('ETTm1', 24)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.1125392844494936,0.17142857142857143,loco,"('ETTm1', 24)"
router_freq_seasonal_peak_strength,-0.004701637646130934,0.2,0.05145019811984522,0.14285714285714285,loco,"('ETTm1', 48)"
router_time_late_early_level_shift,-0.0057204210275252155,0.2857142857142857,0.052447393353645594,0.22857142857142856,loco,"('ETTm1', 48)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.053952777550295546,0.22857142857142856,loco,"('ETTm1', 48)"
router_multivar_channel_heterogeneity_cv,-0.010740460876579644,0.22857142857142856,0.05755160981273456,0.2,loco,"('ETTm1', 48)"
router_time_near_zero_fraction,-0.010904879993672687,0.22857142857142856,0.057721856972370436,0.22857142857142856,loco,"('ETTm1', 48)"
router_time_robust_scale_ratio,-0.01268337817055775,0.11428571428571428,0.05950915596736244,0.14285714285714285,loco,"('ETTm1', 48)"
router_multivar_target_channel_dominance,-0.013581472554571594,0.17142857142857143,0.06043472218964049,0.14285714285714285,loco,"('ETTm1', 48)"
router_freq_harmonic_energy_ratio,-0.02739138255002943,0.0,0.07721772502163475,0.2,loco,"('ETTm1', 48)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07731729042931976,0.14285714285714285,loco,"('ETTm1', 48)"
input_cv,-0.028783810272609296,0.14285714285714285,0.07573724826887406,0.11428571428571428,loco,"('ETTm1', 48)"
router_timefreq_burstiness_index,-0.029840349808888673,0.14285714285714285,0.07912085792357021,0.11428571428571428,loco,"('ETTm1', 48)"
router_freq_dominant_period_to_horizon_ratio,-0.04149539600087352,0.14285714285714285,0.09357967339829372,0.17142857142857143,loco,"('ETTm1', 48)"
router_timefreq_rolling_spectral_entropy_std,-0.042466434809486565,0.22857142857142856,0.09213795986292461,0.2,loco,"('ETTm1', 48)"
router_multivar_cross_channel_mean_abs_corr,-0.052212993425018124,0.05714285714285714,0.10363029617771831,0.14285714285714285,loco,"('ETTm1', 48)"
router_time_outlier_mass_z3,-0.07379311042204358,0.0,0.12472117042832223,0.14285714285714285,loco,"('ETTm1', 48)"
router_multivar_target_channel_dominance,-0.007079426674609884,0.3142857142857143,0.05560119366722786,0.2571428571428571,loco,"('ETTm1', 96)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05584769167078326,0.2,loco,"('ETTm1', 96)"
router_time_late_early_level_shift,-0.00863619759376732,0.22857142857142856,0.05738107113478699,0.11428571428571428,loco,"('ETTm1', 96)"
input_cv,-0.010382696980035747,0.17142857142857143,0.05652177530734774,0.11428571428571428,loco,"('ETTm1', 96)"
router_multivar_channel_heterogeneity_cv,-0.011210897566560601,0.22857142857142856,0.05988971092125473,0.11428571428571428,loco,"('ETTm1', 96)"
router_time_near_zero_fraction,-0.012006893323975984,0.22857142857142856,0.06071999405205941,0.17142857142857143,loco,"('ETTm1', 96)"
router_timefreq_burstiness_index,-0.027454390927928268,0.2857142857142857,0.0785752428841719,0.17142857142857143,loco,"('ETTm1', 96)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07921220454980747,0.11428571428571428,loco,"('ETTm1', 96)"
router_time_robust_scale_ratio,-0.03812817733353696,0.11428571428571428,0.08779205311547136,0.08571428571428572,loco,"('ETTm1', 96)"
router_freq_dominant_period_to_horizon_ratio,-0.03926404802115709,0.17142857142857143,0.09312538162745633,0.17142857142857143,loco,"('ETTm1', 96)"
router_timefreq_rolling_spectral_entropy_std,-0.041522811697664176,0.2571428571428571,0.09306929239092206,0.2,loco,"('ETTm1', 96)"
router_freq_harmonic_energy_ratio,-0.04883983125944387,0.11428571428571428,0.10140602062183186,0.17142857142857143,loco,"('ETTm1', 96)"
router_multivar_cross_channel_mean_abs_corr,-0.04919827431366084,0.08571428571428572,0.10239263327524006,0.17142857142857143,loco,"('ETTm1', 96)"
router_freq_seasonal_peak_strength,-0.0492705793223214,0.2,0.10181003088275993,0.11428571428571428,loco,"('ETTm1', 96)"
router_time_outlier_mass_z3,-0.06128113330498197,0.02857142857142857,0.11401726342550522,0.14285714285714285,loco,"('ETTm1', 96)"
router_multivar_channel_heterogeneity_cv,-0.003712177791480189,0.2857142857142857,0.0520395850654928,0.22857142857142856,loco,"('ETTm1', 288)"
router_time_near_zero_fraction,-0.0038622975000832806,0.3142857142857143,0.052194004172633285,0.2571428571428571,loco,"('ETTm1', 288)"
router_time_late_early_level_shift,-0.005241906959432966,0.3142857142857143,0.053792472273863426,0.22857142857142856,loco,"('ETTm1', 288)"
input_volatility_ratio_late_early,-0.007135297009383097,0.2571428571428571,0.05580551515414876,0.22857142857142856,loco,"('ETTm1', 288)"
router_multivar_target_channel_dominance,-0.007419725956571025,0.22857142857142856,0.05599500765987879,0.17142857142857143,loco,"('ETTm1', 288)"
input_cv,-0.024964717250226774,0.17142857142857143,0.07372307175310942,0.11428571428571428,loco,"('ETTm1', 288)"
router_time_iqr_mad_ratio,-0.028034121717749674,0.11428571428571428,0.07917002803317298,0.14285714285714285,loco,"('ETTm1', 288)"
router_timefreq_burstiness_index,-0.029216001277249826,0.14285714285714285,0.0803427156799459,0.11428571428571428,loco,"('ETTm1', 288)"
router_time_robust_scale_ratio,-0.04123196705064932,0.11428571428571428,0.09085184097719205,0.08571428571428572,loco,"('ETTm1', 288)"
